Address,BuildingType,City,ComplianceStatus,CouncilDistrictCode,DataYear,DefaultData,Electricity(kBtu),Electricity(kWh),ENERGYSTARScore,GHGEmissionsIntensity,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,ListOfAllPropertyUseTypes,Longitude,NaturalGas(kBtu),NaturalGas(therms),Neighborhood,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,PropertyName,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),State,SteamUse(kBtu),TaxParcelIdentificationNumber,TotalGHGEmissions,YearBuilt,ZipCode
2208 NW Market Street,NonResidential,Seattle,Compliant,6,2016,false,2871051,841456.8125,0,1.28,Office,53993,47.66891,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store",'-122.38528,1887147,18871.4707,North,1,6,529,Small- and Mid-Sized Office,87833,6200,94033,Ballard Building,4758198,5055586,56.59999847,60.20000076,130.8999939,134.5,WA,0,2767701055,120.24,1925,98107
221 18th Avenue South,Multifamily HR (10+),Seattle,Compliant,3,2016,false,2630929,771081.1875,85,0.19,Multifamily Housing,97978,47.60042,Multifamily Housing,'-122.30931,0,0,Central,1,10,23814,High-Rise Multifamily,97978,0,97978,Kawabe Memorial House,2630929.5,2630929.5,26.89999962,26.89999962,84.30000305,84.30000305,WA,0,3319500515,18.34,1972,98144
221 1st Ave. W,NonResidential,Seattle,Compliant,7,2016,false,2944692,863039.875,68,0.64,Office,48546,47.62053,"Office, Other, Parking",'-122.35842,531520,5315.200195,North,1,4,115,Small- and Mid-Sized Office,50283,25930,76213,J.G. Scripps Building,3476212.5,3647345.75,68.19999695,71.59999847,192.3999939,196,WA,0,1989200850,48.76,1970,98033
221 Yale Avenue North,NonResidential,Seattle,Compliant,7,2016,false,7877393,2308731.75,95,0.16,Office,217977,47.62029,"Office, Parking, Retail Store",'-122.33078,0,0,Central,1,6,561,Large Office,211900,124800,336700,Alley24,9058916,9200102,41.59999847,42.20000076,113.5,113.5,WA,0,6849700145,54.92,2005,98109
2211 Elliott Ave,NonResidential,Seattle,Compliant,7,2016,false,13329022,3906513,72,0.25,Office,150969,47.6117,"Laboratory, Office",'-122.34778,0,0,Central,1,11,427,Large Office,189629,184776,374405,World Trade Center East-Seattle,13329024,13329024,69.09999847,69.09999847,217.1000061,217.1000061,WA,0,1977200187,92.92,1998,98121
2211 NE 54th St,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,492422,144320.5938,0,0.17,Multifamily Housing,20390,47.66768,Multifamily Housing,'-122.3037,0,0,North,1,3,25479,Low-Rise Multifamily,20390,0,20390,Ravenna,492421.9063,535164.3125,24.20000076,26.20000076,75.80000305,82.40000153,WA,0,7170600000,3.43,1978,98105
2215 1st Ave,Multifamily HR (10+),Seattle,Compliant,7,2016,false,2723268,798144.1875,66,0.76,Multifamily Housing,80471,47.61277,"Multifamily Housing, Parking",'-122.34614,1007685,10076.85059,Central,1,16,21503,High-Rise Multifamily,95700,0,95700,Bell Tower,3730953.5,3976902.75,46.40000153,49.40000153,119.4000015,128.3000031,WA,0,1977200590,72.5,1970,98109
2217 3rd Ave,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,632280,185310.5938,98,0.99,Multifamily Housing,47343,47.61408,"Multifamily Housing, Parking",'-122.34428,798077,7980.77002,Central,1,7,49896,Mid-Rise Multifamily,47343,0,47343,Emmons on 3rd,1430356.75,1485564.5,30.20000076,31.39999962,59.59999847,60.90000153,WA,0,694000055,46.79,2014,98121
2219 2nd Ave,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1955612,573157.125,41,1.96,Multifamily Housing,63861,47.61345,"Multifamily Housing, Parking",'-122.34525,2099382,20993.81836,Central,1,5,21510,Mid-Rise Multifamily,63861,0,63861,Concept One Apts,4054994.25,4369416,63.5,68.40000153,130.6999969,137.6000061,WA,0,1977200650,125.13,1995,98121
222 2nd Ave  Ext S,NonResidential,Seattle,Compliant,7,2016,false,1567041,459273.3125,18,0.25,Non-Refrigerated Warehouse,26416,47.59986,"Non-Refrigerated Warehouse, Office, Retail Store",'-122.32987,0,0,Central,1,4,26720,Warehouse,43484,0,43484,Seattle Lighting Fixture,1567040.75,1567040.75,36,36,113.1999969,113.1999969,WA,0,5247801115,10.92,1906,98104
222 QUEEN ANNE AVE N,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,683738,200392.0938,53,1.1,Multifamily Housing,22852,47.62044,Multifamily Housing,'-122.3565,576678,5766.779785,North,1,7,21691,Mid-Rise Multifamily,32143,0,32143,VIEW 222 (ID21691),1260416,1294293.75,55.20000076,56.59999847,120.4000015,122,WA,0,1989201300,35.39,2009,98109
222 Yale Ave. N.,NonResidential,Seattle,Compliant,7,2016,false,7307906,2141824.75,42,0.72,Retail Store,98863,47.62,Retail Store,'-122.33027,2629800,26297.99805,Central,1,4,562,Retail Store,104014,159994,264008,011-Seattle,9937707,10443463,100.5,105.5999985,260,262.3999939,WA,0,6849700205,190.61,1996,98109
2221 Gilman Dr W,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,571521,167503.0938,92,0.14,Multifamily Housing,24288,47.63876,"Multifamily Housing, Parking",'-122.37342,0,0,North,1,4,26509,Low-Rise Multifamily,29088,0,29088,Queen Anne 20,571520.8125,612345.5,23.5,25.20000076,73.90000153,79.19999695,WA,0,7015400000,3.98,1977,98119
2222 Alki Ave SW,Multifamily LR (1-4),Seattle,Compliant,1,2016,false,806615,236405.2969,78,0.17,Multifamily Housing,32612,47.58424,Multifamily Housing,'-122.39979,0,0,South,1,3,20017,Low-Rise Multifamily,32612,0,32612,Emerald Shores (ID20017),806615,863565.125,24.70000076,26.5,77.69999695,83.09999847,WA,0,914000020,5.62,1958,98116
2224 8th Ave,NonResidential,Seattle,Compliant,7,2016,false,1859869,545096.375,24,2.06,Hotel,61180,47.61798,Hotel,'-122.33974,2134044,21340.43945,Central,1,7,20082,Hotel,48220,12960,61180,La Quinta Inn & Suites,3993913.25,4077797,65.30000305,66.69999695,132.1000061,136.3999939,WA,0,660000435,126.3,1960,98121
2224 NE 92nd St.,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,1795655,526276.3125,70,0.26,Multifamily Housing,75154,47.69639,Multifamily Housing,'-122.30507,135283,1352.830078,North,1,4,22739,Low-Rise Multifamily,75154,0,75154,Greenhouse Condo HOA,1930938,2018943,25.70000076,26.89999962,76.90000153,81.30000305,WA,0,2909000000,19.7,1979,98115
2225 1ST AVE S,NonResidential,Seattle,Compliant,2,2016,false,130124,38137.19922,34,0.48,Non-Refrigerated Warehouse,32000,47.58318,Non-Refrigerated Warehouse,'-122.3347,456465,4564.649902,South,1,2,24823,Warehouse,52110,0,52110,Millwork Supply,586589.1875,671037.375,18.29999924,21,27.70000076,30.5,WA,0,7666207185,25.15,1900,98134
2225 4th Ave,Multifamily HR (10+),Seattle,Compliant,7,2016,false,4206839,1232953.875,18,0.32,Multifamily Housing,65706,47.61498,"Multifamily Housing, Office",'-122.3438,0,0,Central,1,13,19679,High-Rise Multifamily,79235,12365,91600,Security House,4206839.5,4459113,53.09999847,56.29999924,166.6999969,176.6999969,WA,0,694000115,29.33,1978,98121
2225 Alaskan Way,Campus,Seattle,Compliant,7,2016,false,13788853,4041281.75,0,2.97,Other,217088,47.61137,Other,'-122.34947,10228916,102289.1641,Central,4,3,315,Other,215476,0,215476,P66 Bell Harbor International Conference Center & Cruise Terminal.,24017770,24606366,110.5999985,113.3000031,248.8999939,251.8000031,WA,0,7666202325,639.39,1995,98125
2225 First Ave,Multifamily LR (1-4),Seattle,Missing Data,7,2016,false,0,0,0,0,Other,19034,47.61294,"Multifamily Housing, Other",'-122.34638,0,0,Central,1,3,19801,Other,30700,0,30700,APEX BELLTOWN COOP,0,0,0,0,0,0,WA,0,246300000,0,1909,98121
2226 Elliott Ave,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,2015117,590597,0,0.14,Multifamily Housing,62475,47.61205,"Multifamily Housing, Parking, Retail Store",'-122.34738,0,0,Central,1,6,21487,Mid-Rise Multifamily,97517,0,97517,Elliott Pointe Apartments,2015117.25,2092219,31.10000038,32.29999924,97.59999847,101.3000031,WA,0,1977200185,14.05,1994,98121
2228 NW Market Street,NonResidential,Seattle,Compliant,6,2016,false,975561,285920.5,0,0.44,Strip Mall,25828,47.66908,"Parking, Strip Mall",'-122.38627,119380,1193.800171,North,1,2,22332,Other,30000,0,30000,Ballard Square,1094940.75,1115775.5,42.40000153,43.20000076,123.5,123.1999969,WA,0,2767701080,13.14,1928,98107
223 Taylor Avenue North,NonResidential,Seattle,Compliant,7,2016,false,6523873,1912037.75,0,2.14,Office,26580,47.62038,"Data Center, Office",'-122.34668,884468,8844.679688,Central,1,2,21716,Small- and Mid-Sized Office,43183,0,43183,223 Taylor Avenue North,7408342,7588115.5,194.6000061,199.3000031,562.4000244,567.2999878,WA,0,1991200270,92.45,1953,98109
223 Yesler way,Multifamily HR (10+),Seattle,Compliant,7,2016,false,3955526,1159298.5,0,2.22,Multifamily Housing,157625,47.60146,"Multifamily Housing, Office, Other",'-122.33063,0,0,Central,1,11,26716,High-Rise Multifamily,177364,0,177364,Frye Apartments,8692328,9467508,54.29999924,59.20000076,113.1999969,121.3000031,WA,4736800.5,5247801000,393.2,1908,98104
2230 4th Ave,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,372437,109155,86,2.92,Multifamily Housing,34060,47.61536,Multifamily Housing,'-122.34348,1823391,18233.9082,Central,1,3,19913,Low-Rise Multifamily,34060,0,34060,Charlesgate Apartments,2195828,2421341.5,64.5,71.09999847,90.5,97.5,WA,0,696000095,99.44,1922,98121
2230 4th Ave S,NonResidential,Seattle,Compliant,2,2016,false,1782902,522538.6875,16,2.92,Non-Refrigerated Warehouse,61200,47.58241,Non-Refrigerated Warehouse,'-122.32866,3129241,31292.4082,South,1,2,728,Warehouse,61200,0,61200,Pacific Iron & Metal,4912143,5285776.5,80.30000305,86.40000153,145.1999969,151.6000061,WA,0,7666204430,178.62,1931,98134
2231 Franklin Avenue East,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,431816,126557.8984,0,0.15,Multifamily Housing,20383,47.63935,"Multifamily Housing, Parking",'-122.32497,0,0,Central,1,3,22983,Low-Rise Multifamily,20383,0,20383,Villa Anita Apartments,431815.6875,464698.1875,21.20000076,22.79999924,66.5,71.59999847,WA,0,2902200595,3.01,1977,98102
2233 1st Ave,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1526362,447351.0938,0,0.84,Multifamily Housing,41599,47.61305,"Multifamily Housing, Parking, Retail Store",'-122.3466,662197,6621.970215,Central,1,8,21502,Mid-Rise Multifamily,54550,0,54550,Volta,2188559,2212710.5,51.5,52.09999847,129.1000061,130.8999939,WA,0,1977200570,45.81,2010,98121
2233 1st AVE.South,NonResidential,Seattle,Non-Compliant,2,2016,false,117680,34489.89844,100,0.26,Office,20970,47.58292,"Office, Parking",'-122.33468,86819,868.1939087,South,1,2,24825,Small- and Mid-Sized Office,20970,0,20970,2233 Building,204499.0938,233531.9063,9.800000191,11.10000038,22,23.39999962,WA,0,7666207190,5.43,1910,98104
2233 NE 46th St,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,567281,166260.4063,74,0.18,Multifamily Housing,21528,47.66156,Multifamily Housing,'-122.30314,0,0,North,1,4,20037,Low-Rise Multifamily,21528,0,21528,Bayview Apartments,567280.625,600208.875,26.39999962,27.89999962,82.69999695,87.5,WA,0,925049143,3.95,1960,98105
2233 NW 58th St,Multifamily MR (5-9),Seattle,Compliant,6,2016,false,14681945,4303032,67,0.62,Multifamily Housing,282899,47.67055,"Multifamily Housing, Parking, Supermarket/Grocery Store",'-122.38672,3329998,33299.97656,North,1,8,22299,Mid-Rise Multifamily,326475,121280,447755,On the Park Apartments,18011944,18792274,55.20000076,57.59999847,151.8999939,158.1999969,WA,0,2767604965,279.21,2009,98107
2233 Sixth Ave. So.,NonResidential,Seattle,Compliant,2,2016,false,282006,82651.20313,84,0.26,Non-Refrigerated Warehouse,35400,47.58238,Non-Refrigerated Warehouse,'-122.32719,137973,1379.729736,South,1,1,24344,Warehouse,35400,0,35400,WES 2233 LLC,419978.6875,419978.6875,11.89999962,11.89999962,29.10000038,29.10000038,WA,0,7666204449,9.29,1959,98134
2234 1st Ave,NonResidential,Seattle,Compliant,7,2016,false,287763,84338.60156,0,0.09,Food Service,22710,47.61341,Food Service,'-122.34597,0,0,Central,0,2,21508,Other,22710,0,22710,White and Hitchcock,287763.5,287763.5,12.69999981,12.69999981,39.79999924,39.79999924,WA,0,1977200625,2.01,1930,98121
2237 N 106th ST,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,2473225,724860.875,65,0.25,Multifamily Housing,81462,47.70552,Multifamily Housing,'-122.33074,259778,2597.780029,North,1,4,22943,Low-Rise Multifamily,123841,0,123841,North Court Apartments,2733003.75,2855580.5,33.5,35.09999847,98.69999695,103.0999985,WA,0,2926049023,31.04,1986,98133
224 Westlake Ave. N.,NonResidential,Seattle,Compliant,7,2016,false,1912760,560598,77,0.37,Office,22341,47.62054,"Office, Parking, Retail Store",'-122.33807,0,0,Central,1,4,21447,Small- and Mid-Sized Office,35780,0,35780,224 Westlake,1912760.75,1979164.25,62.59999847,64.80000305,196.6000061,203.3999939,WA,0,1986200295,13.33,1926,98109
2244 13th Ave W,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,1117423,327498,26,1.43,Multifamily Housing,41126,47.64005,Multifamily Housing,'-122.37331,960190,9601.899414,North,1,4,26506,Low-Rise Multifamily,41126,0,41126,Queen Anne Ocean View,2077613.25,2260147,50.5,55,109.8000031,117.4000015,WA,0,7014850000,58.79,1990,98119
2244 6th Avenue S,NonResidential,Seattle,Compliant,2,2016,false,5354420,1569290.625,0,1.36,Other,60787,47.58251,"Non-Refrigerated Warehouse, Office, Other",'-122.32528,990589,9905.890625,South,1,1,786,Other,66133,0,66133,J D OTT COMPANY (2244 6th Ave S),6345009.5,6528948,82.40000153,84.80000305,231.8999939,234.3999939,WA,0,7666203489,89.94,1985,98134
2245 1st Ave. South,NonResidential,Seattle,Compliant,2,2016,false,4788414,1403403.75,16,0.78,Office,60384,47.58252,Office,'-122.33465,261032,2610.318604,South,1,3,639,Small- and Mid-Sized Office,60592,0,60592,Green Room,5049446.5,5107519.5,83.59999847,84.59999847,253.5,254.5,WA,0,7666207195,47.25,1930,98104
2245 Yale Ave E,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,181567,53214.19922,100,1.29,Multifamily Housing,20384,47.63958,Multifamily Housing,'-122.3275,471609,4716.089844,Central,1,3,22971,Low-Rise Multifamily,20384,0,20384,LYNNYALE,653175.8125,666623.125,32,32.70000076,52.29999924,53,WA,0,2902200445,26.31,1928,98102
225 Cedar,Multifamily HR (10+),Seattle,Compliant,7,2016,false,5466818,1602232.625,92,0.65,Multifamily Housing,193927,47.61679,"Multifamily Housing, Parking",'-122.3489,2585796,25857.95898,Central,1,26,49994,High-Rise Multifamily,269065,0,269065,Dimension,8052614.5,8459635,41.5,43.59999847,102.5,107.8000031,WA,0,656000120,175.44,2014,98121
225 Mercer St.,Nonresidential COS,Seattle,Compliant,7,2016,false,1293349,379058.9063,0,1.96,Other,52000,47.62395,Other,'-122.35077,0,0,North,1,2,110,Other,52000,0,52000,Exhibition Hall,2726369,2682242.75,52.40000153,51.59999847,110.4000015,109.5,WA,1202380,1988200440,101.83,1962,98109
225 Terry Avenue North,NonResidential,Seattle,Compliant,7,2016,false,1219486,357410.9063,92,1.2,Office,41591,47.62028,"Office, Parking",'-122.33717,1304742,13047.41992,Central,1,4,21442,Small- and Mid-Sized Office,40000,24596,64596,Terry Ave Building,2524228.25,2739358.75,60.70000076,65.90000153,125,130.3999939,WA,0,1986200245,77.8,2007,98109
2250 NW 58th Street,Multifamily MR (5-9),Seattle,Compliant,6,2016,false,572693,167846.5938,90,0.16,Multifamily Housing,24648,47.67113,Multifamily Housing,'-122.38687,0,0,North,1,5,19712,Mid-Rise Multifamily,24648,0,24648,(ID19712) Bayview Ballard,572692.625,603194.6875,23.20000076,24.5,73,76.80000305,WA,0,587530000,3.99,1989,98107
2250 occidental ave s,NonResidential,Seattle,Compliant,2,2016,false,1074350,314874.0938,45,0.34,Refrigerated Warehouse,21870,47.58217,Refrigerated Warehouse,'-122.33263,0,0,South,1,2,24598,Refrigerated Warehouse,21870,0,21870,bnr corporation,1074350.375,1067194.5,49.09999847,48.79999924,154.3000031,153.1999969,WA,0,7666206133,7.49,1955,98134
2251 NW 59th St,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,566878,166142.5,0,0.16,Multifamily Housing,24032,47.67144,Multifamily Housing,'-122.3868,0,0,North,1,3,22025,Low-Rise Multifamily,24032,0,24032,Aros,566878.3125,591716.5,23.60000038,24.60000038,74.09999847,77.30000305,WA,0,2767604090,3.95,1977,98107
2253 Gilman Drive W,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1521693,445982.8125,63,0.17,Multifamily Housing,52826,47.63992,"Multifamily Housing, Swimming Pool",'-122.37471,0,0,North,1,5,27950,Mid-Rise Multifamily,62093,0,62093,Pierre Marquis,1521693.25,1557412.375,28.79999924,29.5,90.5,92.59999847,WA,0,6780800000,10.61,1980,98119
2255 4TH AVE S,NonResidential,Seattle,Compliant,2,2016,false,969591,284170.9063,0,1.72,Other,14877,47.5823,"Office, Other, Parking",'-122.32937,585008,5850.080078,South,1,3,40008,Mixed Use Property,21947,0,21947,(ID#40008) KC Metro Transit Power Distribution,1554599.25,1658135.375,57.79999924,61.59999847,136,139.3000031,WA,0,7666205180,37.83,2004,98134
226 Aurora Ave N,NonResidential,Seattle,Compliant,7,2016,false,3188457,934483.3125,80,1.4,Hotel,88490,47.62025,Hotel,'-122.34314,2639138,26391.38086,Central,1,6,69,Hotel,88100,28200,116300,Sequim Lodging Corp,5827595.5,5941927,65.90000153,67.09999847,144.5,147.1000061,WA,0,1991200940,162.39,1997,98109
227 Westlake Ave N,NonResidential,Seattle,Compliant,7,2016,false,2003807,587282.375,84,0.37,Office,38038,47.62055,"Office, Parking",'-122.33881,0,0,Central,1,4,21438,Small- and Mid-Sized Office,38038,0,38038,Sellen Construction Headquarters,2003807.75,2040142,52.70000076,53.59999847,165.3999939,168.3999939,WA,0,1986200070,13.97,1999,98109
229 1st Ave N,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,168186,49292.5,91,1.97,Multifamily Housing,20712,47.6206,Multifamily Housing,'-122.35581,745316,7453.160156,North,1,3,21300,Low-Rise Multifamily,20712,0,20712,The Uptowner,913502.125,985744.375,44.09999847,47.59999847,63.29999924,67.40000153,WA,0,1989201255,40.76,1908,98109
229 Queen Anne Ave N,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1793064,525516.875,45,0.14,Multifamily Housing,59352,47.62072,Multifamily Housing,'-122.35702,26252,262.519989,North,1,6,21291,Mid-Rise Multifamily,59352,41840,101192,LaVie at Queen Anne,1819315.875,1829567.875,30.70000076,30.79999924,95.30000305,95.5,WA,0,1989200980,13.89,2004,98109
23 W Galer ST,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,423402,124091.8984,92,0.81,Multifamily Housing,24540,47.63208,Multifamily Housing,'-122.35751,316468,3164.679688,North,1,4,20747,Low-Rise Multifamily,24540,0,24540,Queen Anne Court Apartments,739869.6875,785934.875,30.10000038,32,67.69999695,72.59999847,WA,0,1731801330,19.76,1910,98119
230 23Rd. Ave. East,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,194870,57113.10156,86,1.98,Multifamily Housing,25475,47.62117,Multifamily Housing,'-122.30226,923903,9239.030273,Central,1,3,20447,Low-Rise Multifamily,25475,0,25475,Adelphi Apartments,1118772.75,1219558.5,43.90000153,47.90000153,62.09999847,66.30000305,WA,0,955000005,50.43,1920,98112
230 8th Ave N,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1032327,302557.6875,98,0.66,Multifamily Housing,65000,47.62067,"Multifamily Housing, Parking",'-122.34071,857434,8574.339844,Central,1,6,21547,Mid-Rise Multifamily,65000,14480,79480,Denny Park APTS,1889761.125,1977536.5,29.10000038,30.39999962,63.70000076,66.40000153,WA,0,1991201405,52.74,2005,98109
230 Broadway East,Multifamily MR (5-9),Seattle,Compliant,3,2016,false,5286113,1549271.125,100,0.76,Multifamily Housing,246342,47.62031168,"Multifamily Housing, Parking, Restaurant, Retail Store",'-122.3208406,2525429,25254.29102,Central,1,7,49710,Mid-Rise Multifamily,224577,0,224577,Lyric,7811542.5,7895507.5,29,29.29999924,71.5,71.90000153,WA,0,4700000000,170.98,2012,98102
2300 24th Ave E,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,414668,121532.1016,0,3.18,Multifamily Housing,13350,47.63982,"Food Service, Multifamily Housing, Office, Other, Retail Store",'-122.30181,1166758,11667.58008,Central,1,2,27956,Low-Rise Multifamily,20366,0,20366,Montlake,1581425.75,1751156.25,77.69999695,86,124.0999985,132.8000031,WA,0,6788201390,64.86,1926,98112
2300 7th Avenue,NonResidential,Seattle,Compliant,7,2016,false,571058,167367.4063,0,1.28,Office,14317,47.61768,"Office, Parking, Retail Store",'-122.34139,496096,4960.959961,Central,1,1,19926,Small- and Mid-Sized Office,23752,0,23752,7th & Bell Building,1067153.75,1199844.875,44.90000153,50.5,97.40000153,102.4000015,WA,0,697000400,30.33,1965,98121
2300 Eastlake Ave E,NonResidential,Seattle,Compliant,4,2016,false,666740,195410.4063,0,0.18,Office,17332,47.63995,"Office, Parking",'-122.32557,0,0,Central,1,3,23673,Small- and Mid-Sized Office,17956,7956,25912,2300 Eastlake,666740.3125,706926,38.5,40.79999924,120.8000031,128.1000061,WA,0,2902200980,4.65,1969,98102
2300 Elliott Ave.,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,2355165,690259.5,84,0.48,Multifamily Housing,77887,47.61245,"Multifamily Housing, Parking",'-122.34836,718772,7187.720215,Central,1,6,19758,Mid-Rise Multifamily,112676,0,112676,2300 Elliott,3073937.5,3305003.5,39.5,42.40000153,104.5999985,111.5999985,WA,0,654000285,54.59,1990,98121
2300 NE 65th Street,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,1128061,330615.6875,3,0.26,Multifamily Housing,18823,47.67594,"Multifamily Housing, Other - Recreation, Parking, Restaurant",'-122.30247,0,0,North,1,4,25474,Low-Rise Multifamily,30315,0,30315,Varsity I,1128060.75,1164795.75,53.40000153,55.09999847,167.6999969,173.1999969,WA,0,7169200125,7.86,2003,98115
2300 NE 89TH ST,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,1247918,365743.8125,66,0.2,NULL,0,47.69327,Multifamily Housing,'-122.30347,0,0,North,1,3,27343,Low-Rise Multifamily,42448,0,42448,Ravenna Woods,1247918,1333830.875,29.39999962,31.39999962,92.30000305,98.69999695,WA,0,7181200000,8.7,1981,98115
2300 S Massachusetts Street,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,1665394,488099.1875,0,0.61,Multifamily Housing,29302,47.58874,"Multifamily Housing, Museum",'-122.30185,338053,3380.530029,South,1,3,27040,Low-Rise Multifamily,48441,0,48441,Urban League Village,2003447.625,2106067.5,41.40000153,43.5,115.3000031,121.4000015,WA,0,8847700000,29.56,1900,98144
2300 SW Webster St,Nonresidential COS,Seattle,Compliant,1,2016,false,2013762,590199.875,0,3.25,Other,28303,47.53578,"Other, Parking",'-122.36205,1481167,14811.66992,South,1,2,24602,Other,28531,0,28531,Southwest Precinct,3494929.5,3611021,123.5,127.5999985,278.3999939,279.7000122,WA,0,7985400296,92.7,2002,98106
2301 3rd ave,NonResidential,Seattle,Compliant,7,2016,false,1375435,403117,87,1.15,Hotel,57800,47.61471,Hotel,'-122.34525,1067630,10676.2998,Central,1,5,19878,Hotel,57800,0,57800,BELLTOWN INN (ID#19878),2443065.25,2466522.25,42.29999924,42.70000076,94.09999847,94.5,WA,0,656000290,66.29,1990,98121
2301 5th Ave,NonResidential,Seattle,Compliant,7,2016,false,14913422,4370874,74,0.36,Office,191814,47.61598,"Office, Other, Other - Restaurant/Bar, Parking",'-122.34369,0,0,Central,1,6,376,Large Office,203880,83591,287471,5th and Bell,14913424,14913424,74.90000153,74.90000153,235.1000061,235.1000061,WA,0,696000175,103.97,2002,98121
2301 Eighth Avenue,NonResidential,Seattle,Compliant,7,2016,false,1495543,438318.5938,61,1.64,Hotel,52668,47.61822,Hotel,'-122.34132,1174021,11740.20996,Central,1,4,19927,Hotel,44416,0,44416,The Loyal Inn,2669564.25,2736926.5,50.70000076,52,112.5999985,114.8000031,WA,0,697000435,72.78,1967,98121
2301 Fairview Ave E,Multifamily MR (5-9),Seattle,Compliant,4,2016,false,1435558,420738,90,0.19,Multifamily Housing,48786,47.6401,"Multifamily Housing, Parking, Swimming Pool",'-122.33003,0,0,Central,1,5,26138,Mid-Rise Multifamily,53862,0,53862,Union Harbor,1435558.125,1519971.125,29.39999962,31.20000076,92.40000153,97.80000305,WA,0,8807200000,10.01,1968,98102
2301 NE Blakeley ST,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,574563,168394.7969,49,0.17,Multifamily Housing,23794,47.66508,Multifamily Housing,'-122.30253,0,0,North,1,4,20005,Low-Rise Multifamily,23794,0,23794,Blakely Place Condo HOA,574563,601792.375,24.10000038,25.29999924,75.80000305,79.40000153,WA,0,854500000,4.01,1997,98105
2303 W. Commodore Way,NonResidential,Seattle,Compliant,7,2016,false,844068,247382.2031,96,0.2,Office,25184,47.66006,"Office, Parking",'-122.38631,976,9.760000229,North,1,4,22585,Small- and Mid-Sized Office,24472,5680,30152,Commodore Way,845044.125,845044.125,33.59999847,33.59999847,105.3000031,105.3000031,WA,0,2770606573,5.94,2007,98199
2305 1st Ave,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,689766,202158.9063,99,0.92,Multifamily Housing,50841,47.6134,Multifamily Housing,'-122.34683,893344,8933.44043,Central,1,4,19757,Low-Rise Multifamily,56776,0,56776,Oregon Apartments,1583110.25,1693181.75,31.10000038,33.29999924,61.09999847,66.5,WA,0,654000280,52.25,1902,98121
2309 S Jackson St,NonResidential,Seattle,Compliant,3,2016,false,1896626,555869.3125,25,0.56,Retail Store,19271,47.59881,"Bank Branch, Retail Store",'-122.30189,0,0,Central,1,2,24896,Retail Store,23421,0,23421,Promenade South 2,1896626.375,1955353,81,83.5,254.3000031,262.1000061,WA,0,3646100390,13.22,1980,98144
2309 S Jackson St,NonResidential,Seattle,Compliant,3,2016,false,6058493,1775642.75,27,1.38,Supermarket/Grocery Store,28470,47.59881,"Other, Supermarket/Grocery Store",'-122.30189,0,0,Central,1,1,24895,Supermarket / Grocery Store,30630,0,30630,Promenade South 1,6058494,6194518,196,200.3999939,615.4000244,629.2000122,WA,0,3646100390,42.24,1980,98144
231 26th Ave E,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,727375,213181.2969,76,0.21,Multifamily Housing,24415,47.62102,Multifamily Housing,'-122.29893,0,0,Central,1,4,26948,Low-Rise Multifamily,24415,0,24415,Madison Gate - 231,727374.6875,775351.8125,29.79999924,31.79999924,93.5,99.69999695,WA,0,9828702360,5.07,1989,98112
231 Belmont Ave E,Multifamily LR (1-4),Seattle,Non-Compliant,3,2016,false,255971,75020.89844,0,0.06,Multifamily Housing,26418,47.62059,"Multifamily Housing, Parking",'-122.3244,0,0,Central,1,4,19934,Low-Rise Multifamily,31702,0,31702,Belmont Lofts,255971.2031,275412,9.699999809,10.39999962,30.39999962,32.70000076,WA,0,704600000,1.78,1989,98102
